id,name,lat,lon
Australia,Australia,-25.7349684916223,134.489562606981
Austria,Austria,47.6077978292689,14.3001435907641
Estonia,Estonia,58.7783968568071,25.7615268448868
Luxembourg,Luxembourg,49.7706279766425,6.08781366657564
Malta,Malta,35.890522427978,14.4419213796182
Norway,Norway,61.2483331493152,8.80482073895072
Spain,Spain,41.2948556295683,-4.05568501525488
Bahrain,Bahrain,26.0224069941867,50.5596439032492
Bangladesh,Bangladesh,24.3476077999364,90.0779740421191
Belgium,Belgium,50.438696,4.63357500000001
Belize,Belize,17.2168536428077,-88.686006535616
Brazil,Brazil,-9.58890301712257,-51.6197890205486
Canada,Canada,55.5859012851966,-105.750595856519
China,China,35.4867029846329,101.901875103385
Colombia,Colombia,3.06508799999999,-73.129056
Denmark,Denmark,55.9633978748347,10.0462968058278
Ethiopia,Ethiopia,8.62621960079895,39.6160319910272
Finland,Finland,62.7777539652943,26.199539005192
Greece,Greece,38.5890212896367,23.8285537394706
Ireland,Ireland,53.3054943871234,-7.73764888796793
Netherlands,Netherlands,51.9724664894952,5.61349061168593
France,France,47.8249046208979,2.61878695312962
Georgia,Georgia,42.17446422189274,43.522057057619534
Germany,Germany,51.1334813439932,10.0183432948567
Ghana,Ghana,6.88085426914622,-1.16759442759906
Hungary,Hungary,47.0602667471763,19.4993490091469
India,India,22.1991660760527,78.476681027237
Indonesia,Indonesia,-6.17555357,106.82721585
Iraq,Iraq,33.0480556443919,43.4047161632042
Israel,Israel,31.8472608144505,34.8419985253627
Italy,Italy,42.5041539170675,12.6463610364431
Japan,Japan,36.3864928218528,138.592229549504
Kenya,Kenya,0.529862476788944,37.8578818658854
Lebanon,Lebanon,33.9202654117664,35.888026075855
Malaysia,Malaysia,4.49664266041942,102.275719605501
Mexico,Mexico,23.9504642310912,-102.532867448126
New Zealand,New Zealand,-41.8388752215127,171.779900195937
Nigeria,Nigeria,9.59395988695573,8.10530640960786
Pakistan,Pakistan,28.1863846711864,67.6952367278874
Poland,Poland,52.1246099075455,19.30063630556
Russian Federation,Russia,61.9945734073292,96.6697054604756
Rwanda,Rwanda,-1.86550575827486,29.917651661429
Saudi Arabia,Saudi Arabia,23.384784,44.652426
Serbia,Serbia,44.2267366369366,20.7952998132557
Slovenia,Slovenia,46.1694584888026,14.6940763981247
South Africa,South Africa,-28.3782721906973,23.9137106762068
Sri Lanka,Sri Lanka,7.60808521895433,80.7047272491285
Sweden,Sweden,64.9648751621697,17.6754094331351
Switzerland,Switzerland,46.8024955829499,8.23439191387853
United Kingdom of Great Britain and Northern Ireland,"Westminster Bridge, Westminster Bridge Rd., London, England SW1A 2LW, United Kingdom",51.50017575,-0.12388425
United Republic of Tanzania,Tanzania,-6.27035338020445,34.8234540265851
United States of America,United States,39.3812661305678,-97.9222112121185
Viet Nam,Vietnam,14.3154241771087,108.339537475899
Zambia,Zambia,-14.0049082837326,27.4306751716734
